Date,POTUS,VP,TomBrady,BarackObama,justinbieber,katyperry,rihanna,taylorswift13,ladygaga,ArianaGrande,TheEllenShow,jtimberlake,selenagomez,britneyspears,ddlovato,BillGates,shakira,jimmyfallon,neymarjr,KingJames,MileyCyrus,SrBachchan,Oprah,BrunoMars,elonmusk,Drake,KevinHart4real,KylieJenner,wizkhalifa,Harry_Styles,Louis_Tomlinson,LilTunechi
2021-03-11,695,715,663,811,700,769,500,706,777,815,731,,624,472,776,773,738,781,586,721,572,669,833,773,577.0,613,859,691,687,,707,620
2021-03-12,691,701,680,813,699,769,500,706,777,815,722,,655,472,775,773,738,784,589,721,570,671,720,773,650.0,613,852,676,683,,707,620
2021-03-13,704,692,659,813,704,769,500,681,777,815,719,,654,472,774,773,743,785,588,726,570,678,720,773,949.0,659,859,685,691,,707,620
2021-03-14,678,691,660,807,736,770,500,654,801,754,702,,665,472,770,773,743,796,587,731,570,682,798,773,664.0,659,858,712,690,,707,620
2021-03-15,630,684,657,812,744,758,500,644,801,759,702,,666,472,771,773,743,793,587,738,570,677,798,776,675.0,659,855,694,695,,707,646
2021-03-15,680,684,657,812,744,758,500,620,801,754,702,,666,472,771,773,743,793,587,738,570,677,798,776,747.0,659,855,694,695,,707,646
2021-03-16,698,673,650,813,754,759,530,620,801,760,701,,679,472,785,773,759,785,592,735,543,676,798,771,790.0,659,850,706,719,946.0,707,618
2021-03-17,664,684,650,753,755,759,573,640,801,760,684,,679,472,787,770,762,778,585,721,547,661,799,771,666.0,659,850,703,719,946.0,707,618
2021-03-18,682,682,631,753,765,759,569,640,801,753,695,391.0,684,472,773,755,773,754,585,720,547,655,799,771,684.0,659,859,697,726,946.0,612,618
2021-03-19,655,693,631,753,757,759,569,640,801,742,692,391.0,684,472,768,743,780,729,579,728,547,655,813,771,728.0,659,869,697,719,946.0,699,618
2021-03-20,690,732,571,786,767,802,600,611,889,853,707,333.0,703,500,812,750,797,783,572,792,597,660,864,812,,667,894,700,754,1000.0,750,625
2021-03-21,696,735,571,773,753,802,500,688,889,818,704,333.0,706,500,793,764,793,786,572,781,617,667,875,810,,667,893,690,757,1000.0,750,625
2021-03-22,480,570,357,667,560,699,250,500,889,500,579,333.0,500,333,595,613,643,658,179,653,379,364,750,648,350.0,667,783,524,636,1000.0,632,444
2021-03-23,500,572,400,657,558,696,250,500,889,500,562,333.0,523,333,500,621,643,647,181,667,379,368,750,648,,667,771,524,638,1000.0,700,714
2021-03-24,510,584,462,650,558,669,200,556,889,500,574,250.0,530,333,574,621,633,651,171,667,409,384,692,648,488.0,667,786,545,638,1000.0,700,714
2021-03-25,522,599,462,625,552,664,333,556,900,429,571,250.0,545,400,557,600,625,655,197,667,417,356,692,648,516.0,600,783,524,643,1000.0,700,714
2021-03-26,515,597,462,615,580,664,333,636,900,429,545,250.0,545,500,549,577,645,663,203,651,391,329,600,648,460.0,600,776,611,638,1000.0,688,714
2021-03-27,700,750,643,737,769,795,562,773,900,714,677,400.0,730,625,740,688,828,774,589,767,646,636,761,810,638.0,600,909,735,765,1000.0,812,900
2021-03-28,500,595,385,595,581,664,375,600,900,375,532,400.0,565,667,553,522,692,659,214,619,423,324,615,643,556.0,667,806,600,646,1000.0,688,800
2021-03-29,512,605,385,595,607,662,429,667,1000,375,526,400.0,565,667,545,524,680,671,207,605,429,314,615,643,0.0,667,797,588,667,1000.0,688,800
2021-03-30,497,600,385,556,602,646,429,667,1000,400,515,400.0,565,667,566,565,680,667,190,587,444,319,615,657,0.0,667,797,556,691,1000.0,688,833
2021-03-31,450,606,462,556,607,636,500,750,1000,400,520,400.0,547,667,582,591,680,658,143,578,444,338,630,662,500.0,667,776,550,686,1000.0,675,833
